,id,price,time,exchange,quote_type,market_hours,change_percent,day_high,day_low,change,open_price,price_hint,currency
0,^NSEI,23855.15,2026-04-08 03:37:54,NSI,9,1,3.8614192,23855.15,23855.15,886.9004,23855.15,2,
1,^NSEI,23855.15,2026-04-08 03:37:54,NSI,9,1,3.8614192,,,886.9004,,2,
2,^NSEI,23855.15,2026-04-08 03:37:55,NSI,9,1,3.8614192,,,886.9004,,2,
3,^NSEI,23855.15,2026-04-08 03:37:56,NSI,9,1,3.8614192,,,886.9004,,2,
4,^NSEI,23855.15,2026-04-08 03:37:57,NSI,9,1,3.8614192,,,886.9004,,2,
5,^NSEI,23855.15,2026-04-08 03:37:58,NSI,9,1,3.8614192,,,886.9004,,2,
6,^NSEI,23855.15,2026-04-08 03:37:59,NSI,9,1,3.8614192,,,886.9004,,2,
7,^NSEI,23855.15,2026-04-08 03:38:00,NSI,9,1,3.8614192,,,886.9004,,2,
8,^NSEI,23855.15,2026-04-08 03:38:01,NSI,9,1,3.8614192,,,886.9004,,2,
9,^NSEI,23855.15,2026-04-08 03:38:03,NSI,9,1,3.8614192,,,886.9004,,2,
10,^NSEI,23855.15,2026-04-08 03:38:04,NSI,9,1,3.8614192,,,886.9004,,2,INR
11,^NSEI,23855.15,2026-04-08 03:38:05,NSI,9,1,3.8614192,,,886.9004,,2,
12,^NSEI,23855.15,2026-04-08 03:38:06,NSI,9,1,3.8614192,,,886.9004,,2,
14,^NSEI,23855.15,2026-04-08 03:38:07,NSI,9,1,3.8614192,,,886.9004,,2,
15,^NSEI,23855.15,2026-04-08 03:38:08,NSI,9,1,3.8614192,,,886.9004,,2,
16,^NSEI,23855.15,2026-04-08 03:38:09,NSI,9,1,3.8614192,,,886.9004,,2,
17,^NSEI,23855.15,2026-04-08 03:38:10,NSI,9,1,3.8614192,,,886.9004,,2,
18,^NSEI,23855.15,2026-04-08 03:38:12,NSI,9,1,3.8614192,,,886.9004,,2,
20,^NSEI,23855.15,2026-04-08 03:38:13,NSI,9,1,3.8614192,,,886.9004,,2,
21,^NSEI,23855.15,2026-04-08 03:38:15,NSI,9,1,3.8614192,,,886.9004,,2,
23,^NSEI,23855.15,2026-04-08 03:38:16,NSI,9,1,3.8614192,,,886.9004,,2,
24,^NSEI,23855.15,2026-04-08 03:38:18,NSI,9,1,3.8614192,,,886.9004,,2,
26,^NSEI,23855.15,2026-04-08 03:38:19,NSI,9,1,3.8614192,,,886.9004,,2,
27,^NSEI,23855.15,2026-04-08 03:38:20,NSI,9,1,3.8614192,,,886.9004,,2,
28,^NSEI,23855.15,2026-04-08 03:38:21,NSI,9,1,3.8614192,,,886.9004,,2,
29,^NSEI,23855.15,2026-04-08 03:38:22,NSI,9,1,3.8614192,,,886.9004,,2,
30,^NSEI,23855.15,2026-04-08 03:38:23,NSI,9,1,3.8614192,,,886.9004,,2,
