Symbol,Name,Last Price,Sector / Category,Type,Exchange
^NSEI,NIFTY 50,"23,997.55",--,Indices,NSI
^CNXPSUBANK,NIFTY PSU BANK,"8,482.60",--,Indices,NSI
^NSEBANK,NIFTY BANK,"54,863.35",--,Indices,NSI
^CNX100,NIFTY 100,"24,896.00",--,Indices,NSI
NI15.NS,NIFTY GROWSECT 15,"10,948.00",--,Indices,NSI
^CNXCMDT,NIFTY COMMODITIES,"10,238.10",--,Indices,NSI
NIFTY500MOMENTM50.NS,NIFTY500MOMENTM50,"51,758.85",--,Indices,NSI
NV20.NS,NIFTY50 VALUE 20,"12,260.75",--,Indices,NSI
NIFTY_M150_QLTY50.NS,NIFTY M150 QLTY50,"23,260.05",--,Indices,NSI
NIFTYALPHALOWVOL.NS,NIFTY ALPHALOWVOL,"25,710.15",--,Indices,NSI
NIFTYGS11TO15YR.NS,NIFTY GS 11 15YR,"3,228.54",--,Indices,NSI
NIFTY100_ESG.NS,NIFTY100 ESG,"4,834.30",--,Indices,NSI
^CNXFIN,NIFTY FINSRV25 50,"27,958.55",--,Indices,NSI
NIFTYMIDLIQ15.NS,NIFTY MID LIQ 15,"15,940.25",--,Indices,NSI
NIFTY_MIDCAP_100.NS,NIFTY MIDCAP 100,"59,784.85",--,Indices,NSI
NIFTYPR1XINV.NS,NIFTY50 PR 1X INV,218.95,--,Indices,NSI
^CNXMEDIA,NIFTY MEDIA,"1,456.00",--,Indices,NSI
NIFTY_HEALTHCARE.NS,NIFTY HEALTHCARE,"14,918.40",--,Indices,NSI
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,"25,657.35",--,Indices,NSI
^CNXFMCG,NIFTY FMCG,"51,072.10",--,Indices,NSI
NIFTY_TOTAL_MKT.NS,NIFTY TOTAL MKT,"12,761.50",--,Indices,NSI
^CNXDIVOP,NIFTY DIV OPPS 50,"6,056.40",--,Indices,NSI
NIFTYTR1XINV.NS,NIFTY50 TR 1X INV,178.95,--,Indices,NSI
^CNXREALTY,NIFTY REALTY,793.55,--,Indices,NSI
^CNXMNC,NIFTY MNC,"31,886.60",--,Indices,NSI
NIFTY_IND_DIGITAL.NS,NIFTY IND DIGITAL,"7,760.60",--,Indices,NSI
NIFTYGS10YR.NS,NIFTY GS 10YR,"2,594.86",--,Indices,NSI
NIFTYMIDSML400.NS,NIFTY MIDSML 400,"20,064.95",--,Indices,NSI
^CRSLDX,NIFTY 500,"22,683.55",--,Indices,NSI
NIFTY100LOWVOL30.NS,NIFTY100 LOWVOL30,"19,652.30",--,Indices,NSI
NIFTY100_EQL_WGT.NS,NIFTY100 EQL WGT,"33,571.15",--,Indices,NSI
NIFTYGSCOMPOSITE.NS,NIFTY GS COMPSITE,"3,039.37",--,Indices,NSI
NIFTYGS8TO13YR.NS,NIFTY GS 8 13YR,"2,958.21",--,Indices,NSI
NIFTYGS10YRCLN.NS,NIFTY GS 10YR CLN,865.79,--,Indices,NSI
^CNXINFRA,NIFTY INFRA,"9,419.35",--,Indices,NSI
NIFTYM150MOMNTM50.NS,NIFTYM150MOMNTM50,"61,128.35",--,Indices,NSI
DE000SLA38D8.SG,--,"1,888.15",--,Indices,STU
NIFTYPR2XLEV.NS,NIFTY50 PR 2X LEV,"12,059.75",--,Indices,NSI
NIFTY_CONSR_DURBL.NS,NIFTY CONSR DURBL,"37,273.00",--,Indices,NSI
^CNXPHARMA,NIFTY PHARMA,"23,267.70",--,Indices,NSI
NIFTYALPHA50.NS,NIFTY ALPHA 50,"50,876.15",--,Indices,NSI
DE000SLA39S4.SG,--,240.98,--,Indices,STU
NIFTY200_ALPHA_30.NS,NIFTY200 ALPHA 30,"25,013.20",--,Indices,NSI
NIFTY_LARGEMID250.NS,NIFTY LARGEMID250,"16,181.90",--,Indices,NSI
^CNXSC,NIFTY SMLCAP 100,"18,007.15",--,Indices,NSI
^NSEDIV,NIFTY50 DIV POINT,5.53,--,Indices,NSI
^CNXSERVICE,NIFTY SERV SECTOR,"30,248.40",--,Indices,NSI
NIFTY_MID_SELECT.NS,NIFTY MID SELECT,"13,826.00",--,Indices,NSI
^CNXPSE,NIFTY PSE,"10,629.05",--,Indices,NSI
NIFTY500_MULTICAP.NS,NIFTY500 MULTICAP,"15,892.95",--,Indices,NSI
^NSMIDCP,NIFTY NEXT 50,"69,643.90",--,Indices,NSI
NIFTY50EQUALWEIGHT.NS,NIFTY50 EQL WGT,"32,264.45",--,Indices,NSI
NIFTYQUALITY30.NS,NIFTY100 QUALTY30,"5,556.55",--,Indices,NSI
NIFTYGS15YRPLUS.NS,NIFTY GS 15YRPLUS,"3,434.21",--,Indices,NSI
^CNXMETAL,NIFTY METAL,"12,833.05",--,Indices,NSI
NIFTY_INDIA_MFG.NS,NIFTY INDIA MFG,"15,550.30",--,Indices,NSI
^CNXAUTO,NIFTY AUTO,"25,917.60",--,Indices,NSI
NIFTYSMLCAP250.NS,NIFTY SMLCAP 250,"16,731.20",--,Indices,NSI
^CNXIT,NIFTY IT,"29,353.90",--,Indices,NSI
NIFTYMIDCAP150.NS,NIFTY MIDCAP 150,"22,000.05",--,Indices,NSI
